Date,Value
2017-08-31,4344.0
2017-07-31,4348.0
2017-06-30,4352.0
2017-05-31,4360.0
2017-04-30,4371.0
2017-03-31,4385.0
2017-02-28,4399.0
2017-01-31,4416.0
2016-12-31,4441.0
2016-11-30,4462.0
2016-10-31,4474.0
2016-09-30,4480.0
2016-08-31,4486.0
2016-07-31,4512.0
2016-06-30,4536.0
2016-05-31,4553.0
2016-04-30,4562.0
2016-03-31,4569.0
2016-02-29,4579.0
2016-01-31,4621.0
2015-12-31,4682.0
2015-11-30,4730.0
2015-10-31,4730.0
2015-09-30,4703.0
2015-08-31,4660.0
2015-07-31,4615.0
2015-06-30,4558.0
2015-05-31,4500.0
2015-04-30,4448.0
2015-03-31,4398.0
2015-02-28,4337.0
2015-01-31,4267.0
2014-12-31,4193.0
2014-11-30,4111.0
2014-10-31,4039.0
2014-09-30,3990.0
2014-08-31,3962.0
2014-07-31,3958.0
2014-06-30,3951.0
2014-05-31,3946.0
2014-04-30,3943.0
2014-03-31,3952.0
2014-02-28,3970.0
2014-01-31,3962.0
2013-12-31,3910.0
2013-11-30,3837.0
2013-10-31,3768.0
2013-09-30,3728.0
2013-08-31,3687.0
2013-07-31,3657.0
2013-06-30,3618.0
2013-05-31,3573.0
2013-04-30,3522.0
2013-03-31,3467.0
2013-02-28,3394.0
2013-01-31,3301.0
2012-12-31,3239.0
2012-11-30,3232.0
2012-10-31,3284.0
2012-09-30,3342.0
2012-08-31,3358.0
2012-07-31,3335.0
2012-06-30,3293.0
2012-05-31,3258.0
2012-04-30,3213.0
2012-03-31,3165.0
2012-02-29,3140.0
2012-01-31,3141.0
2011-12-31,3135.0
2011-11-30,3113.0
2011-10-31,3073.0
2011-09-30,2998.0
2011-08-31,2929.0
2011-07-31,2891.0
2011-06-30,2910.0
2011-05-31,2930.0
2011-04-30,2951.0
2011-03-31,2962.0
2011-02-28,2966.0
2011-01-31,2960.0
2010-12-31,2958.0
2010-11-30,2957.0
