Date,Value
2017-08-31,5722.0
2017-07-31,5779.0
2017-06-30,5828.0
2017-05-31,5882.0
2017-04-30,5938.0
2017-03-31,5978.0
2017-02-28,5985.0
2017-01-31,5986.0
2016-12-31,5999.0
2016-11-30,6060.0
2016-10-31,6100.0
2016-09-30,6150.0
2016-08-31,6224.0
2016-07-31,6327.0
2016-06-30,6426.0
2016-05-31,6507.0
2016-04-30,6594.0
2016-03-31,6669.0
2016-02-29,6738.0
2016-01-31,6799.0
2015-12-31,6880.0
2015-11-30,6927.0
2015-10-31,6921.0
2015-09-30,6935.0
2015-08-31,6990.0
2015-07-31,7013.0
2015-06-30,6978.0
2015-05-31,6826.0
2015-04-30,6588.0
2015-03-31,6342.0
2015-02-28,6208.0
2015-01-31,6072.0
2014-12-31,5912.0
2014-11-30,5738.0
2014-10-31,5627.0
2014-09-30,5558.0
2014-08-31,5413.0
2014-07-31,5345.0
2014-06-30,5307.0
2014-05-31,5374.0
2014-04-30,5429.0
2014-03-31,5495.0
2014-02-28,5536.0
2014-01-31,5540.0
2013-12-31,5569.0
2013-11-30,5558.0
2013-10-31,5466.0
2013-09-30,5298.0
2013-08-31,5112.0
2013-07-31,4868.0
2013-06-30,4716.0
2013-05-31,4602.0
2013-04-30,4589.0
2013-03-31,4539.0
2013-02-28,4442.0
2013-01-31,4381.0
2012-12-31,4304.0
2012-11-30,4313.0
2012-10-31,4290.0
2012-09-30,4334.0
2012-08-31,4390.0
2012-07-31,4414.0
2012-06-30,4413.0
2012-05-31,4432.0
2012-04-30,4444.0
2012-03-31,4461.0
2012-02-29,4424.0
2012-01-31,4385.0
2011-12-31,4401.0
2011-11-30,4433.0
2011-10-31,4443.0
2011-09-30,4458.0
2011-08-31,4511.0
2011-07-31,4557.0
2011-06-30,4564.0
2011-05-31,4525.0
2011-04-30,4476.0
2011-03-31,4492.0
2011-02-28,4563.0
2011-01-31,4638.0
2010-12-31,4633.0
2010-11-30,4564.0
