Date,Value
2017-08-31,1.012
2017-07-31,1.004
2017-06-30,0.996
2017-05-31,0.986
2017-04-30,0.976
2017-03-31,0.968
2017-02-28,0.958
2017-01-31,0.954
2016-12-31,0.956
2016-11-30,0.966
2016-10-31,0.972
2016-09-30,0.978
2016-08-31,0.98
2016-07-31,0.99
2016-06-30,1.004
2016-05-31,1.022
2016-04-30,1.044
2016-03-31,1.058
2016-02-29,1.066
2016-01-31,1.074
2015-12-31,1.092
2015-11-30,1.11
2015-10-31,1.124
2015-09-30,1.134
2015-08-31,1.134
2015-07-31,1.142
2015-06-30,1.142
2015-05-31,1.148
2015-04-30,1.15
2015-03-31,1.162
2015-02-28,1.156
2015-01-31,1.136
2014-12-31,1.098
2014-11-30,1.072
2014-10-31,1.052
2014-09-30,1.032
2014-08-31,1.0
2014-07-31,0.974
2014-06-30,0.958
2014-05-31,0.95
2014-04-30,0.948
2014-03-31,0.944
2014-02-28,0.94
2014-01-31,0.926
2013-12-31,0.918
2013-11-30,0.9
2013-10-31,0.894
2013-09-30,0.878
2013-08-31,0.872
2013-07-31,0.872
2013-06-30,0.878
2013-05-31,0.868
2013-04-30,0.852
2013-03-31,0.826
2013-02-28,0.822
2013-01-31,0.83
2012-12-31,0.852
2012-11-30,0.872
2012-10-31,0.886
2012-09-30,0.904
2012-08-31,0.918
2012-07-31,0.928
2012-06-30,0.918
2012-05-31,0.894
2012-04-30,0.868
